"Seed","R_Init","R_Final","R_Improved","T_Init","T_Final","Dice_Init","Dice_Final"
"2026","1.22077143192291","2.2743444442749","False","1.52770984172821","0.414685934782028","0.687423835198084","0.980325152476629"
"2027","2.40680265426636","2.35916423797607","True","1.59135568141937","0.461219400167465","0.639953126509984","0.97063492735227"
"2028","1.28206896781921","0.721992492675781","True","0.95248556137085","0.416775315999985","0.643376171588898","0.88100857535998"
"2029","0.567862331867218","0.959403812885284","False","0.151102960109711","0.393933117389679","0.906303912401199","0.984620332717896"
"2030","1.20755553245544","3.09364080429077","False","1.98536574840546","0.52814394235611","0.578806440035502","0.945048411687215"
"2031","2.25776100158691","2.89570260047913","False","1.54060792922974","0.578445434570313","0.842572063207626","0.962565908829371"
"2032","2.22052502632141","0.62807297706604","True","1.30266988277435","0.450751036405563","0.64912294348081","0.907733788092931"
"2033","1.79362368583679","2.52413940429688","False","1.17048704624176","0.467216223478317","0.812717775503794","0.977355509996414"
"2034","1.61495184898376","4.12483263015747","False","1.99483847618103","0.292262703180313","0.609683747092883","0.948981940746307"
"2035","0.868631064891815","0.464781045913696","True","0.689363837242126","0.422192215919495","0.705364182591438","0.923708697160085"
